riskCategory,neighborhood,address,city,state,year,stories,retrofitLevel,occupancyType,occupantLoad,confirmationSource,FID,x,y
M,Capitol Hill,215 13th Ave E,Seattle,Washington,1909,3,No visible,R,2,Field,113,-122.315669873894,47.6204492511966
C,Beacon Hill,5117 13th Ave S,Seattle,Washington,1919,3,Permit,S,3,GSV,114,-122.316150068329,47.5558596079564
M,Capitol Hill,219 Broadway E,Seattle,Washington,1918,2,No visible,C,2,Field,115,-122.320949680654,47.6206182512395
M,Capitol Hill,221 Belmont Ave E,Seattle,Washington,1928,3,No visible,R,2,GSV,116,-122.324030151087,47.6203699955111
M,Beacon Hill,5710 Airport Way S,Seattle,Washington,1914,2,No visible,C,3,GSV,117,-122.318802077406,47.5512001324186
M,Capitol Hill,222 Summit Ave E,Seattle,Washington,1927,4,No visible,R,2,SIM,118,-122.325228306046,47.6203501817223
H,Beacon Hill,5840 Airport Way S,Seattle,Washington,1903,4,No visible,C,2,GSV,119,-122.318561635235,47.5509576351346
M,Capitol Hill,223 14th Ave E,Seattle,Washington,1926,3,No visible,R,2,GSV,120,-122.314350504761,47.620619416822
M,Beacon Hill,5900 Airport Way S,Seattle,Washington,1901,3,Sub Alt,C/O,2,GSV,121,-122.318450661856,47.5508457131659
M,Capitol Hill,225 Broadway E,Seattle,Washington,1940,2,No visible,C,2,Field,122,-122.320949680654,47.6206683688396
M,Capitol Hill,300 Broadway E,Seattle,Washington,1909,1,No visible,C,3,GSV,123,-122.320878584389,47.6212499634505
M,Capitol Hill,300 E Pike St,Seattle,Washington,1910,2,No visible,C/O,3,GSV,124,-122.327487084794,47.6140563719157
